"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="3042","晶技","市","04/03","","109.5","-1","-0.9","2,567","281","110.5","110","111","108","2.71","19.8","2.86","    ","    ","    ","    ","    "
="3044","健鼎","市","04/03","","213","+0.5","+0.24","3,629","778","212.5","210","217.5","209.5","3.76","18.5","2.57","    ","    ","    ","    ","    "
="3049","精金","市","04/03","","8.24","-0.12","-1.44","1,121","9.29","8.36","8.37","8.37","8.23","1.67","","0.75","    ","    ","    ","    ","    "
="3055","蔚華科","市","04/03","","76","-0.8","-1.04","6,361","495","76.8","74.9","80.6","74","8.59","","3.44","    ","    ","    ","    ","    "
="3056","富華新","市","04/03","","28.45","-0.2","-0.7","1,305","37","28.65","28.5","28.5","28.25","0.87","31.6","1.41","    ","    ","    ","    ","    "
="3059","華晶科","市","04/03","","37.75","-0.8","-2.08","4,885","185","38.55","38","38.55","37.5","2.72","29.7","1.19","    ","    ","    ","    ","    "
="3062","建漢","市","04/03","","23.4","-0.6","-2.5","5,360","126","24","24.1","24.1","23.15","3.96","","1.62","    ","    ","    ","    ","    "
="3090","日電貿","市","04/03","","59.9","-0.7","-1.16","465","28","60.6","60.8","60.8","59.9","1.49","17.7","2.04","    ","    ","    ","    ","    "
="3138","耀登","市","04/03","","133","-1.5","-1.12","65","8.68","134.5","133","134","132.5","1.12","30.1","3.74","    ","    ","    ","    ","    "
="3189","景碩","市","04/03","","102","-1","-0.97","1,944","199","103","102","103.5","101.5","1.94","927","1.46","    ","    ","    ","    ","    "
="3209","全科","市","04/03","","36.45","-0.3","-0.82","320","11.6","36.75","36.65","36.7","36.35","0.95","14","1.77","    ","    ","    ","    ","    "
="3231","緯創","市","04/03","","129.5","+4.5","+3.6","196,356","25,311","125","123.5","133","122.5","8.4","31.7","3.56","    ","    ","    ","    ","    "
="3305","昇貿","市","04/03","","62.6","-1.1","-1.73","687","43.1","63.7","63.8","63.8","62.3","2.35","36","1.76","    ","    ","    ","    ","    "
="3376","新日興","市","04/03","","176","+2","+1.15","5,916","1,045","174","172.5","181","171.5","5.46","40.9","2.12","    ","    ","    ","    ","    "
="3380","明泰","市","04/03","","35.7","-0.65","-1.79","1,508","54","36.35","36.35","36.35","35.6","2.06","35.3","1.93","    ","    ","    ","    ","    "
="3406","玉晶光","市","04/03","","474","-10.5","-2.17","2,304","1,107","484.5","483","494.5","472","4.64","17.4","2.53","    ","    ","    ","    ","    "
="3413","京鼎","市","04/03","","308","-6","-1.91","2,568","793","314","310","315","305.5","3.03","15","2.59","    ","    ","    ","    ","    "
="3416","融程電","市","04/03","","139.5","-3","-2.11","499","70.2","142.5","141.5","142.5","139","2.46","21.1","3.56","    ","    ","    ","    ","    "
="3443","創意","市","04/03","","1385","+10","+0.73","2,443","3,386","1375","1380","1410","1365","3.27","52.9","19.2","    ","    ","    ","    ","    "
="3450","聯鈞","市","04/03","","76.1","+1.3","+1.74","14,267","1,099","74.8","74.1","78.4","74.1","5.75","","2.91","    ","    ","    ","    ","    "
="3454","晶睿","市","04/03","","143","-2","-1.38","137","19.6","145","144","145","142.5","1.72","25.3","3.5","    ","    ","    ","    ","    "
="3481","群創","市","04/03","","14.7","-0.5","-3.29","76,159","1,126","15.2","15.1","15.1","14.65","2.96","","0.58","    ","    ","    ","    ","    "
="3504","揚明光","市","04/03","","58.6","+0.2","+0.34","471","27.6","58.4","58.4","59","58.3","1.2","","2.23","    ","    ","    ","    ","    "
="3515","華擎","市","04/03","","253","-0.5","-0.2","684","172","253.5","251.5","253","246","2.76","33.6","3.79","    ","    ","    ","    ","    "
="3530","晶相光","市","04/03","","108","-2","-1.82","1,144","127","110","109","114","108","5.45","","3.51","    ","    ","    ","    ","    "
="3532","台勝科","市","04/03","","170","+2","+1.19","858","145","168","167","170","166.5","2.08","19.1","2.59","    ","    ","    ","    ","    "
="3533","嘉澤","市","04/03","","1520","+55","+3.75","1,385","2,072","1465","1450","1540","1440","6.83","30","6.09","    ","    ","    ","    ","    "
="3545","敦泰","市","04/03","","91.1","-3","-3.19","2,904","267","94.1","93.4","93.5","90.9","2.76","52.4","2.12","    ","    ","    ","    ","    "
