商品代碼,商品名稱,商品數量,商品權重
3034,聯詠,15035411,3.26
2317,鴻海,54902963,3.17
2454,聯發科,7298975,3.08
2385,群光,35784484,2.84
4938,和碩,78982861,2.8
2379,瑞昱,13387812,2.78
2303,聯電,144016181,2.7
3711,日月光投控,47225519,2.65
3702,大聯大,79053940,2.64
2382,廣達,24049863,2.57
2356,英業達,116538630,2.51
2324,仁寶,187520536,2.49
6239,力成,35742891,2.48
2891,中信金,215827867,2.47
2474,可成,32033495,2.46
2885,元大金,225786941,2.46
2353,宏碁,143498422,2.4
2357,華碩,15250016,2.34
1102,亞泥,154878031,2.32
2105,正新,126892539,2.25
2449,京元電子,57569475,2.23
2347,聯強,78530634,2.17
2890,永豐金,276850795,2.11
3231,緯創,44895094,2.11
4958,臻鼎-KY,44589845,2.1
1402,遠東新,171881346,2.04
2301,光寶科,53477601,2.02
2377,微星,32138250,1.98
2409,友達,306635693,1.97
3036,文曄,38401824,1.96
3044,健鼎,24747713,1.92
2886,兆豐金,131040805,1.89
2376,技嘉,15766580,1.82
1605,華新,131647264,1.74
1477,聚陽,11387664,1.55
2027,大成鋼,110000073,1.44
6176,瑞儀,21895307,1.38
3005,神基,28414503,1.3
6285,啟碁,21060372,1.21
2383,台光電,7904244,1.18
1301,台塑,44895726,1.14
8046,南電,14979922,1.14
1303,南亞,54327125,1.12
2542,興富發,75631158,1.11
2809,京城銀,52319689,1.05
2915,潤泰全,41605020,0.9
2006,東和鋼鐵,34380329,0.89
9917,中保科,19150269,0.85
3665,貿聯-KY,7596822,0.71
5522,遠雄,33763651,0.71
