"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1909","榮成","市","04/03","","14.9","+0.1","+0.68","1,337","19.8","14.8","14.7","14.9","14.65","1.69","","0.89","    ","    ","    ","    ","    "
="2002","中鋼","市","04/03","","24.65","+0.35","+1.44","54,395","1,338","24.3","24.6","25","24.35","2.67","224","1.22","    ","    ","    ","    ","    "
="2006","東和鋼鐵","市","04/03","","71","+0.8","+1.14","6,721","488","70.2","73","75.9","70.7","7.41","11","1.67","    ","    ","    ","    ","    "
="2014","中鴻","市","04/03","","22.8","+0.65","+2.93","29,803","684","22.15","23.15","23.7","22.45","5.64","207","2.01","    ","    ","    ","    ","    "
="2027","大成鋼","市","04/03","","36.1","0","0","11,582","422","36.1","36.5","37.1","36.05","2.91","15.7","1.23","    ","    ","    ","    ","    "
="2049","上銀","市","04/03","","269.5","-6","-2.18","3,720","1,004","275.5","275.5","275.5","268","2.72","46.9","2.72","    ","    ","    ","    ","    "
="2059","川湖","市","04/03","","1325","+75","+6","1,414","1,860","1250","1240","1355","1225","10.4","46.7","7.68","    ","    ","    ","    ","    "
="2105","正新","市","04/03","","48.7","-0.1","-0.2","4,227","205","48.8","48.4","48.8","48.1","1.43","21.9","1.85","    ","    ","    ","    ","    "
="2201","裕隆","市","04/03","","66.7","-1.1","-1.62","5,517","368","67.8","67.6","67.6","66.4","1.77","14.4","1.18","    ","    ","    ","    ","    "
="2231","為升","市","04/03","","118","-1.5","-1.26","525","62.3","119.5","119.5","121","117","3.35","37.5","3.95","    ","    ","    ","    ","    "
="2301","光寶科","市","04/03","","104","0","0","23,246","2,432","104","103","106","102.5","3.37","16.4","2.84","    ","    ","    ","    ","    "
="2303","聯電","市","04/03","","51.6","-0.5","-0.96","41,513","2,148","52.1","52.2","52.2","51.6","1.15","10.5","1.8","    ","    ","    ","    ","    "
="2308","台達電","市","04/03","","332","-6","-1.78","6,395","2,129","338","332","335","331","1.18","25.8","4.33","    ","    ","    ","    ","    "
="2312","金寶","市","04/03","","15.05","-0.05","-0.33","2,525","37.9","15.1","15.1","15.1","14.95","0.99","29.5","1.04","    ","    ","    ","    ","    "
="2313","華通","市","04/03","","79.6","-0.6","-0.75","8,715","695","80.2","79.7","80.5","78.8","2.12","22.7","2.42","    ","    ","    ","    ","    "
="2317","鴻海","市","04/03","","159","0","0","142,523","22,371","159","156","159","155","2.52","15.5","1.48","    ","    ","    ","    ","    "
="2323","中環","市","04/03","","12.2","+0.15","+1.24","11,261","138","12.05","12.05","12.35","12.05","2.49","7.58","0.72","    ","    ","    ","    ","    "
="2324","仁寶","市","04/03","","36.55","-0.3","-0.81","18,720","688","36.85","36.75","37.15","36.5","1.76","20.8","1.33","    ","    ","    ","    ","    "
="2327","國巨","市","04/03","","614","-2","-0.32","2,692","1,661","616","614","625","613","1.95","14.7","1.91","    ","    ","    ","    ","    "
="2328","廣宇","市","04/03","","35.5","-0.6","-1.66","4,182","148","36.1","35.5","35.65","35.15","1.39","14.7","1.37","    ","    ","    ","    ","    "
="2330","台積電","市","04/03","","780","-10","-1.27","32,910","25,719","790","783","785","778","0.89","24.1","5.85","    ","    ","    ","    ","    "
="2331","精英","市","04/03","","31.1","-0.5","-1.58","3,735","117","31.6","31.75","31.8","31","2.53","17.1","1.44","    ","    ","    ","    ","    "
="2332","友訊","市","04/03","","18.4","-0.15","-0.81","2,240","41.3","18.55","18.5","18.55","18.35","1.08","19.4","1.21","    ","    ","    ","    ","    "
="2337","旺宏","市","04/03","","27.15","-0.3","-1.09","4,043","110","27.45","27.45","27.45","27.05","1.46","","1.04","    ","    ","    ","    ","    "
="2338","光罩","市","04/03","","69.3","+0.3","+0.43","907","62.7","69","69","69.3","68.7","0.87","39.6","2.88","    ","    ","    ","    ","    "
="2340","台亞","市","04/03","","39.6","-0.2","-0.5","574","22.6","39.8","39.75","39.75","39.25","1.26","56.6","2.08","    ","    ","    ","    ","    "
="2344","華邦電","市","04/03","","26.7","-0.35","-1.29","16,271","435","27.05","26.8","26.9","26.55","1.29","","1.21","    ","    ","    ","    ","    "
="2345","智邦","市","04/03","","461","+5","+1.1","2,226","1,017","456","454.5","463.5","449","3.18","28.8","10.2","    ","    ","    ","    ","    "
="2347","聯強","市","04/03","","76.1","-0.9","-1.17","3,405","259","77","77","77.1","75.6","1.95","17.4","1.77","    ","    ","    ","    ","    "
